,Country Name,ControlofCorruption,PoliticalStability,GovernmentEffectiveness,RegulatoryQuality,RuleofLaw,VoiceandAccountability,GDP per capita,GDP growth,debt index,Inflation rate,fiscal balance,trade index,unemployment,School enrollment,Life expectancy,Intentional homicides,gini index,得分,稳定系数
67,Luxembourg,0.195386926,0.13664561,0.189604764,0.191667032,0.176717547,0.147674874,0.416478562,-0.010746306,0.088807674,0.090245745,-0.040807084,0.051287004,0.10097554,0.030758171,0.101771442,0.101579439,0.086287905,0.018319419,1
20,Switzerland,0.197397642,0.132311603,0.207972961,0.165429648,0.180165165,0.151416227,0.303943692,-0.032013283,0.116724059,0.084287591,-0.036077683,0.085594066,0.10097554,0.104673,0.103462876,0.100710101,0.086287905,0.017382213,0.935191495
52,Ireland,0.148688011,0.108662004,0.152224603,0.153292974,0.147720083,0.137062826,0.303105799,0.083343334,0.091161899,0.085795755,-0.060857556,0.066883578,0.10097554,0.119646762,0.102348412,0.100380104,0.086287905,0.017036814,0.911306876
87,Norway,0.19940779,0.138375987,0.199364749,0.176651817,0.195545328,0.169565554,0.238913255,-0.009664812,0.088807674,0.092044283,-0.033578529,0.065043224,0.10097554,0.135288826,0.103599526,0.10064487,0.0702521,0.015935119,0.835123807
29,Denmark,0.215627615,0.105480927,0.194628633,0.186320618,0.183201907,0.149392138,0.216152858,-0.026879493,0.088807674,0.08870692,0.002564187,0.076123492,0.10097554,0.13271841,0.101534581,0.099788197,0.0702521,0.015288242,0.790391817
54,Iceland,0.161335087,0.153437867,0.156722336,0.150610049,0.17732239,0.136253498,0.210066462,-0.092207334,0.07681666,0.098062206,-0.106496846,0.058479275,0.10097554,0.135016591,0.103420362,0.098618724,0.0702521,0.014715044,0.750754715
104,Sweden,0.202085352,0.11396027,0.176891795,0.175028763,0.178172622,0.147764629,0.18749051,-0.029245968,0.105078508,0.089002375,-0.033297793,0.066986349,0.099338709,0.135405057,0.102600457,0.099157116,0.0702521,0.014477075,0.73429898
86,Netherlands,0.193074167,0.095481501,0.190754983,0.182414019,0.173364273,0.149904558,0.185094149,-0.052369181,0.088807674,0.091989843,-0.044320682,0.068200825,0.099959576,0.147414472,0.101358453,0.100525501,0.0702521,0.014399924,0.728963972
36,Finland,0.209320169,0.111597877,0.200624595,0.192973028,0.204840766,0.158730045,0.174477954,-0.029716636,0.088807674,0.08820525,-0.065761315,0.065356857,0.10097554,0.152278047,0.102257312,0.098216875,0.0702521,0.01434904,0.725445263
3,Australia,0.158037458,0.094470294,0.166572105,0.189030795,0.162843678,0.128198945,0.183525044,-0.000685735,0.09225534,0.090349612,-0.10449818,0.141770013,0.10097554,0.182945809,0.10358738,0.09997617,0.108432589,0.014242917,0.718106809
114,United States,0.101300809,0.003712661,0.135570954,0.129426414,0.134900895,0.085457268,0.22543269,-0.03729913,0.063511769,0.091840002,-0.17291763,0.072912886,0.100693327,0.140293823,0.096217346,0.087162418,0.108432589,0.014044605,0.704393374
4,Austria,0.143243569,0.101350356,0.170278545,0.145747711,0.17854549,0.137548435,0.173195114,-0.0869742,0.076869077,0.092411701,-0.095997354,0.063183725,0.10097554,0.139723036,0.101088188,0.100304938,0.086287905,0.013708659,0.681162465
27,Germany,0.17640838,0.076009156,0.13989303,0.164637897,0.153615472,0.135496737,0.165969128,-0.049818223,0.088807674,0.089038308,-0.051701286,0.074235527,0.100185345,0.116937392,0.10077541,0.099824937,0.086287905,0.013515314,0.667792485
19,Canada,0.151619275,0.114344602,0.169170098,0.166001362,0.163241955,0.145096078,0.153498026,-0.070520658,0.090907358,0.089848912,-0.135555547,0.07266977,0.092734942,0.127395585,0.101780552,0.097476987,0.107287174,0.013295784,0.652611845
7,Belgium,0.140234918,0.060342107,0.115471916,0.140473357,0.134855183,0.126121666,0.161515767,-0.072250479,0.067025538,0.089940615,-0.107949899,0.070178667,0.10097554,0.129593414,0.100593209,0.097493078,0.0702521,0.012989476,0.631430414
39,United Kingdom,0.160616725,0.054568408,0.141528092,0.154049091,0.147628588,0.122617361,0.143066745,-0.14865274,0.028701784,0.090899168,-0.152263482,0.066459375,0.10097554,0.11132121,0.100726823,0.099900553,0.107287174,0.012610977,0.605256885
38,France,0.109318694,0.036075259,0.128225634,0.124354538,0.130915029,0.105158147,0.138584129,-0.104905716,0.065215367,0.088921941,-0.105912588,0.065319314,0.100919096,0.111101168,0.102311972,0.098887614,0.086287905,0.012084311,0.568837577
34,Estonia,0.153053403,0.079772164,0.138089881,0.159708384,0.136094545,0.115195324,0.083725582,-0.007425337,0.115281745,0.085371984,-0.065240332,0.071752608,0.10097554,0.121253085,0.097544378,0.094761072,0.086287905,0.011635898,0.537829462
62,"Korea, Rep.",0.068878655,0.062881888,0.145579731,0.107411179,0.116548102,0.080234557,0.112560152,-0.009560139,0.103849387,0.089156243,-0.026645686,0.040865744,0.100580443,0.164164925,0.103869791,0.100579267,0.086287905,0.011604615,0.535666239
55,Israel,0.053437706,-0.09441786,0.112563898,0.129111977,0.095763369,0.064365179,0.159134772,-0.02502898,0.088807674,0.084817349,-0.127240505,0.077913642,0.10097554,0.09784627,0.102964859,0.099459758,0.108432589,0.011511439,0.529223049
76,Malta,0.034928408,0.112611579,0.106711873,0.126779914,0.090197565,0.110378602,0.102824263,-0.112178713,0.088807674,0.089546521,-0.112971578,0.11217158,0.10097554,0.114548563,0.102907162,0.0983462,0.06872488,0.011046628,0.497080983
103,Slovenia,0.076419903,0.078936049,0.119803143,0.095822431,0.105118199,0.092022696,0.090644971,-0.05823513,0.088807674,0.086873919,-0.094236159,0.072649356,0.10097554,0.128042706,0.100265247,0.100741728,0.0702521,0.010966208,0.491519851
93,Portugal,0.071069822,0.113439409,0.10505672,0.086561376,0.116704312,0.123878582,0.078925162,-0.111858425,0.088807674,0.087037414,-0.069683691,0.069098912,0.10097554,0.112760492,0.100817923,0.099873231,0.108432589,0.010854564,0.483799589
66,Lithuania,0.076505159,0.103010046,0.108709537,0.113122811,0.09768888,0.099128962,0.072172946,-0.00029328,0.100392262,0.091710149,-0.086726575,0.073397194,0.098209861,0.113409055,0.093289983,0.093527353,0.108432589,0.010754136,0.476854912
33,Spain,0.070123703,0.048573782,0.091789552,0.079746455,0.088648255,0.09912582,0.095663963,-0.152622522,0.056032108,0.085841358,-0.122518612,0.068392081,0.058474377,0.153747153,0.102509357,0.10049622,0.108432589,0.010737121,0.475678315
26,Cyprus,0.035561867,0.034264676,0.090576898,0.104200754,0.056997718,0.089148428,0.099483875,-0.058923815,0.088807674,0.084624661,-0.068691613,0.059862439,0.10097554,0.148897366,0.101335101,0.099124077,0.086287905,0.01062917,0.46821347
113,Uruguay,0.132464922,0.116901524,0.079582116,0.072372741,0.067512344,0.128961649,0.05542453,-0.082493509,0.0968027,0.080315579,-0.055702843,0.092065305,0.08782445,0.108756991,0.097648536,0.079939337,0.106905369,0.010578071,0.464679916
68,Latvia,0.06835861,0.052739769,0.090480035,0.1235116,0.094169906,0.085807196,0.064606384,-0.029687608,0.088807674,0.087929705,-0.045546862,0.079672469,0.100411113,0.151417619,0.093860879,0.093524969,0.108432589,0.010453132,0.456040296
56,Italy,0.050882151,0.047569256,0.040717683,0.052178557,0.023362532,0.104076541,0.113233416,-0.121823143,0.088807674,0.086554585,-0.114516351,0.07849924,0.094428217,0.111291655,0.102521503,0.100872693,0.108432589,0.010450617,0.455866391
21,Chile,0.107805229,0.007676145,0.076305959,0.099811321,0.093433222,0.097964999,0.046464502,-0.08056303,0.088807674,0.098648357,-0.085227411,0.163297015,0.084381462,0.146865223,0.098827589,0.090955604,0.07101571,0.010084076,0.430519784
102,Slovak Republic,0.041926527,0.07020785,0.055557957,0.081494408,0.066805081,0.086863374,0.069356296,-0.045477484,0.088245987,0.094550974,-0.065249477,0.069801601,0.10097554,0.076298664,0.09570111,0.099324695,0.0702521,0.009875269,0.416080645
92,Poland,0.061315379,0.05730382,0.037228497,0.089319148,0.052511006,0.060790504,0.056125152,-0.027222636,0.088807674,0.098648357,-0.082477538,0.073436163,0.096234375,0.112912757,0.095370112,0.100347738,0.086287905,0.009641601,0.399922336
45,Greece,0.005303802,0.01456882,0.04527324,0.057072943,0.031250475,0.095072365,0.062661173,-0.12133922,0,0.08227521,-0.130534011,0.062452194,0.056386006,0.241721442,0.100957611,0.100244537,0.108432589,0.00961442,0.398042718
25,Costa Rica,0.065369774,0.085600841,0.023504988,0.051086585,0.051757611,0.110594372,0.043052413,-0.054590366,0.088807674,0.089879407,-0.100733565,0.07383343,0.053394553,0.089890957,0.098703085,0.076564633,0.037416879,0.009487658,0.389277001
49,Hungary,0.008877322,0.093615463,0.059360335,0.04995547,0.050456513,0.038533783,0.057203867,-0.061279295,0.078788212,0.098648357,-0.0929504,0.078087935,0.10097554,0.088365749,0.094146328,0.100063585,0.086287905,0.009248654,0.372749702
17,Bhutan,0.158057584,0.113660409,0.046070252,-0.029579088,0.060439574,0.015099606,0.010680443,-0.134891516,0.068082724,0.096220159,-0.020190495,0.093172398,0.10097554,0.026456009,0.089156114,0.096357165,0.108432589,0.00907829,0.360968891
48,Croatia,0.01913237,0.067900803,0.04769625,0.038731851,0.025661518,0.057287917,0.050382991,-0.115629396,0.074357829,0.08768205,-0.087392925,0.069904086,0.10097554,0.109098678,0.096770023,0.09973194,0.086287905,0.009037659,0.358159271
82,Malaysia,0.024112363,0.012649139,0.109568513,0.070363685,0.058898276,-0.014734898,0.036054618,-0.074582779,0.095981228,0.082696417,-0.055116098,0.078315503,0.10097554,0.068197751,0.094545895,0.097506954,0.098887467,0.00875373,0.338525342
18,Botswana,0.059819439,0.113933838,0.020645118,0.056003669,0.040256495,0.048276513,0.020805045,-0.117597788,0.117357197,0.094371431,-0.136597415,0.062252598,0.027487467,0.04179756,0.081733182,0.089463604,0.020235659,0.008737354,0.337392905
96,Romania,-0.007121874,0.059053309,-0.02662457,0.037383022,0.03887866,0.057829997,0.046297629,-0.049558433,0.098463113,0.09722639,-0.11701283,0.079588247,0.10097554,0.085282147,0.092573325,0.09862899,0.108432589,0.008580184,0.326524549
40,Georgia,0.059741124,-0.046154613,0.077936138,0.104911394,0.024181459,0.005662092,0.015101118,-0.091104233,0.094035842,0.09786799,-0.110427905,0.109360959,0.079922509,0.106844073,0.090595381,0.0957371,0.108432589,0.00849705,0.320775731
37,Fiji,0.061163376,0.075618185,0.056415163,-0.009992495,0.021991006,0.003254571,0.017259878,-0.229096541,0.088807674,0.077082422,-0.104161193,0.08048214,0.096714134,0.093240037,0.084568139,0.096881837,0.108432589,0.008343051,0.31012661
11,Bulgaria,-0.028525597,0.046417741,-0.018904691,0.049173995,-0.010442493,0.025761474,0.035944722,-0.05334661,0.111007074,0.093531502,-0.035130995,0.083759493,0.10097554,0.120809078,0.0916441,0.099689596,0.108432589,0.008210987,0.300994246
57,Jamaica,-0.002141513,0.028626699,0.058172926,0.005867835,-0.020848747,0.061794225,0.017377504,-0.134760808,0.073655903,0.09777428,-0.036489468,0.060230142,0.10097554,0.056401573,0.089479824,0,0.05230727,0.00800944,0.287057113
89,Panama,-0.053493601,0.026757109,0.020432426,0.034724201,-0.02642975,0.056805889,0.044600565,-0.241826836,0.088807674,0.081110077,-0.123595491,0.124295178,0.041428759,0.071106616,0.095441079,0.075660341,0.020235659,0.007790837,0.271940574
1,Argentina,-0.01339152,-0.008795174,-0.023203911,-0.050147609,-0.046895928,0.057837237,0.03014879,-0.13399584,0.088807674,0.098648357,-0.102478179,0.110945555,0.081446452,0.158876178,0.094488623,0.089818049,0.090869564,0.007679529,0.264243504
78,Mongolia,-0.044688773,0.080133426,-0.038104524,-0.006316067,-0.024079702,0.037272532,0.01433974,-0.061420634,0.089973587,0.098648357,-0.110258791,0.126140147,0.10097554,0.10671018,0.089818475,0.088382222,0.086287905,0.007670959,0.263650921
119,South Africa,-0.001024749,-0.02673905,0.010015121,0.003636511,-0.017836007,0.06885838,0.0203737,-0.085471654,0.088807674,0.098648357,-0.115410185,0.120562408,0.008748575,0.03882944,0.081241391,0.026050674,0.020235659,0.007600638,0.258788132
41,Ghana,-0.009984107,0.020464413,-0.017130941,-0.01215133,-0.005162181,0.054499264,0.007723395,0.006925919,0.088807674,0.079811112,-0.182449522,0.138326363,0.097137454,0.029939523,0.079824534,0.098353454,0.098887467,0.007577339,0.257177015
77,Montenegro,-0.001789496,-0.006612379,-0.007334225,0.045416714,-0.001251638,0.004265376,0.027241678,-0.206276937,0.088807674,0.086099973,-0.1304646,0.086573821,0.045210404,0.088960133,0.09453806,0.095441857,0.108432589,0.00755388,0.255554802
74,North Macedonia,-0.044807187,0.012019277,0.006592676,0.046493045,-0.00819509,0.00567647,0.021167859,-0.082350803,0.088807674,0.09171084,-0.097989352,0.068456828,0.052717249,0.068918822,0.094241072,0.099329419,0.108432589,0.00750854,0.252419544
101,Serbia,-0.040824467,-0.018180419,-0.001060906,0.009838332,-0.009967947,-0.011707132,0.027442698,-0.012171846,0.088807674,0.093157986,-0.086415767,0.084580796,0.095274851,0.109173387,0.092418454,0.09963157,0.108432589,0.007493753,0.251396968
22,China,-0.004459398,-0.036574009,0.070072391,-0.019213622,-0.007788034,-0.162003222,0.036934221,0.030182403,0.088807674,0.096410615,-0.115959005,0.066803356,0.10097554,0.093595964,0.097209037,0.100161954,0.108432589,0.007410417,0.245634221
98,Rwanda,0.052647657,0.009246304,0.031910926,0.001316035,0.010705749,-0.107377597,0.002748915,-0.045264179,0.088807674,0.0799533,-0.113751315,0.130337882,0.079358082,0.011641222,0.083136342,0.095515037,0.075215564,0.007359564,0.242117741
0,Albania,-0.052466678,0.009721041,-0.01292753,0.024463781,-0.034614921,0.008689871,0.018920688,-0.046918732,0.084867329,0.093332794,-0.08010609,0.06970964,0.080148278,0.092623541,0.095854432,0.097134403,0.086287905,0.007350334,0.241479454
30,Dominican Republic,-0.069446125,0.017506537,-0.02598939,0.003810491,-0.016007333,0.023604765,0.025434711,-0.090562489,0.088807674,0.098648357,-0.094325181,0.087836915,0.10097554,0.089890957,0.090749766,0.08185019,0.108432589,0.007339416,0.240724449
90,Peru,-0.047842513,-0.039517586,-0.027305721,0.05036247,-0.037596444,0.024543462,0.021490387,-0.147599456,0.109783386,0.09480332,-0.099314989,0.135257362,0.10097554,0.132917379,0.091715917,0.084878693,0.079415417,0.007324152,0.239668957
99,Senegal,0.000750162,-0.015442122,-0.003618253,-0.029152045,-0.02832286,0.02365093,0.005287851,0.017862614,0.088807674,0.096904019,-0.076421051,0.083351217,0.10097554,0.022484317,0.084670232,0.100474904,0.108432589,0.007320842,0.239440065
50,Indonesia,-0.041110618,-0.049824603,0.036226964,0.023732719,-0.032471096,0.009944019,0.013818472,-0.027828173,0.105622619,0.094489408,-0.072933894,0.082710324,0.10097554,0.056401573,0.085668755,0.100942188,0.108432589,0.007302649,0.238182
58,Jordan,0.0059726,-0.030526092,0.013092802,0.027726174,0.022040894,-0.073494421,0.0143454,-0.02115035,0.089367861,0.088369983,-0.102494932,0.055400493,0.037703559,0.053764121,0.093607134,0.09922992,0.108432589,0.007297507,0.237826418
