,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
5,Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596801,1.104938262,-1.251596644,1.780643959,5.637243179,-0.787842655,-1.420039656,9.836548972,-9.57564017,-28.00214166,-7.187110915,9.559411685,8.302866597,13.32233332,9.099999436,-10.91998408,8.829423758,12.89080364,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.8022274,4.019359685,2.088063376,-3.481630373,8.515501123
9,Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.427842876,-0.852021522,-5.308196825,10.13029766,10.56943334,-0.659726171,3.191996623,4.822500779,9.679526011,3.045643319,5.658131082,1.628416518,2.811754038,5.533804396,-0.028412104,-2.018251517,6.934147757,-4.506124802,10.22276346,1.51878395,-5.189789141,-0.735659159,4.349093279,1.570738702,-5.189024353,6.153377063,2.704868828,-1.089933341,-7.156949656,-2.467213778,9.133110567,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946
10,Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.69999848,-41.80000275,-8.799998793,5.400002779,6.89999842,5.865400749,3.3210797,7.299999988,3.300000001,5.900000003,9.599999999,13.2,14.0,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.2,5.7
13,Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.482656077,1.29461125,6.216107341,6.980061136,5.980437905,2.379039521,6.304945208,5.094033799,7.045584074,7.175916196,4.000932527,3.910284478,2.619375963,4.106973052,1.336310041,2.588770758,3.594832938,0.893149715,4.050026573,3.035588798,3.339494783,3.324852287,-2.224541877,4.591738564,5.278243879,3.966274337,2.559257638,5.757341066,3.875425521,3.576485761,-0.383071893,0.428619567,4.047425268,3.980923347,3.887106294,3.856841227,3.912835473,4.613356892,4.956324506,3.901171371,2.041417338,3.993589865,3.111398208,4.216633273,3.15375271,2.740635704,3.777916783,3.568270032,1.870486961,2.20656631,2.391385132,3.902007806,2.578754288,2.579017112,2.152735906,2.730547992,2.282183642,2.883045123,2.171396224,-0.050885336,2.236212439
14,Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,6.321142632,5.114968585,6.207861086,4.890435317,3.942138071,-0.363735434,4.578445433,5.079980594,-0.210653695,5.3566999,1.731485595,-0.144294691,2.011254708,2.97308803,0.051274763,2.498678497,2.301393212,1.357168064,3.295879898,3.887074818,4.345641399,3.441627777,2.093524617,0.526809204,2.402119074,2.667983531,2.349533852,2.09359939,3.581425815,3.556331247,3.375722147,1.267168189,1.651553922,0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.258572433,2.425385361,1.517388583,-6.453968467,4.556850913
15,Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.700000176,-22.60000033,-23.09999872,-19.70000124,-11.79999911,1.299999405,5.800000148,9.999999612,7.4000013,11.09999914,9.899999865,9.438916269,10.2082994,9.253801797,27.96153811,34.5,24.99999985,10.75897806,9.296363744,5.048944513,0.100000138,2.165239475,5.809800843,2.750506815,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,5.600037273
16,Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.74613505,9.063157934,4.135407422,6.273037901,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541142,21.32567073,2.746828712,-6.403964924,6.889050719,-0.726839563,0.697920236,7.942660976,11.46945304,-0.940575988,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.25018046,5.50309612,5.031024367,1.349502237,3.499822136,4.996836448,1.009998371,-6.240000001,-3.829999996,-7.920000004,-7.999999998,-1.589999997,4.749999995,-1.009999996,-0.856864058,2.055807108,4.446519412,-1.22372796,4.833657768,0.900000001,5.413807145,3.451948564,4.861716367,3.812745366,5.124159994,4.032599988,4.446706331,4.924189898,4.240650214,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565323,0.327156891,1.7953
17,Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.582858284,3.98582711,5.295604743,6.381701958,4.565257973,-1.965941566,5.652745933,0.626154854,2.841896491,2.341072956,4.444053876,-0.279283279,0.594986772,0.311842703,2.466382805,1.651792899,1.822761831,2.306659566,4.72320888,3.469166984,3.137402316,1.833074277,1.530654944,-0.96187331,3.226971525,2.38475728,1.32145093,3.79365763,1.961808272,3.542743464,3.716679384,1.099618888,1.706884585,1.037982549,3.571204343,2.321737054,2.552349944,3.676881136,0.446928735,-2.020743062,2.864292708,1.694513899,0.739217283,0.459242193,1.578533143,2.041459009,1.266686409,1.619580278,1.792945193,2.24085824,-5.361386633,6.133865964
18,Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.141280456,-3.426409821,4.730027971,6.650759128,5.293862829,3.575862732,1.078398667,3.842335635,2.877497974,2.097757581,-1.496841826,6.426367545,3.706165319,3.339312157,-4.895345447,0.884356333,4.98366373,1.255078028,6.535747415,6.781763868,9.954231167,2.235066344,-4.347822735,7.929839566,7.530324838,2.171141598,-1.500002952,3.405245296,-2.854160496,8.97613436,4.225799421,2.957710827,5.836172085,2.020400448,6.04519865,4.324284031,5.734688375,3.961012138,5.341449372,5.857714205,5.333135706,4.643030871,3.443576776,4.429684554,1.713164564,3.943738828,5.986349322,4.896577084,2.319292139,2.114064726,2.963752919,4.811223316,7.191433721,6.357679098,1.77815106,3.339673426,5.671555469,6.697259461,6.865687336,3.848523092,7.155729529
19,Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.043927978,6.12879878,-1.268016373,2.282819224,3.764545381,0.537613084,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498742,0.449327404,8.28642648,2.998382897,8.534894961,0.370353564,4.607825,3.664621512,0.796878879,4.255303395,9.562196622,0.34598474,-1.778696688,8.517364991,7.955362729,-0.236336789,5.795592965,2.150267272,-0.602928478,9.069984459,0.232710762,3.461384939,1.315007272,5.716373863,11.01474387,6.316834735,7.307719635,7.395237801,1.888473889,6.613405745,4.35296383,7.802493889,4.478452137,8.661873228,6.253164688,4.111379018,5.799991741,2.961950859,8.446281577,6.622562613,6.45267238,5.792584845,4.326845615,3.921228794,5.957976708,6.203489411,6.604569068,5.688115149,1.93032489,6.906341673
20,Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227816,5.44268555,4.711561725,3.890126441,5.121277897,4.522919217,4.489896498,5.177026873,4.670156369,5.293294719,5.077287775,3.83312394,4.7395674,5.23953291,6.535944941,6.671904981,7.058599357,6.013789759,5.045124794,5.571788188,6.464379123,6.521458781,6.013605658,6.061059359,6.552639879,7.113478213,6.590249998,7.31941263,7.881915151,3.448021455,6.938675089
21,Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.90016186,2.334565592,3.430305914,3.396443622,2.683440741,4.207602003,6.054513839,10.94469206,-3.289882068,-9.117377096,-8.445355196,-7.272387966,-1.480214854,1.818011334,2.861232771,5.205394067,-14.11538174,3.789120642,-8.396090667,4.587224782,3.823703363,5.871931433,5.237155215,6.510425341,7.05634894,6.802589226,6.654386825,6.129559704,-3.347142095,1.541801443,2.10120575,0.754930386,-0.560493966,0.966869032,3.428054914,3.039825276,2.76217096,2.684760587,4.038142206,-3.958614598,7.634609716
24,Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.79999754,88.95766618,34.38957405,15.59999669,9.599999716,12.76546946,2.423313172,5.027444207,3.867138795,6.325266169,3.89717799,5.414003571,5.857126342,5.443831035,-3.00445593,0.86566926,0.959511247,-0.821836474,2.349856663,1.153851092,3.089162709,3.149807309,3.171434907,3.740073101,2.831001308,-3.119290515,7.54559113
25,Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.19999557,-9.600001396,-7.600001842,-11.7000039,-10.40000049,2.800004651,11.40000541,8.39999142,3.399999163,5.80000344,4.725305994,5.04526748,7.043192559,11.44974311,9.400001524,9.999994812,8.600006536,10.19999944,0.19999531,7.798266823,5.37870745,1.687135536,1.003470841,1.726384854,-3.829570558,-2.526446436,2.5321835,3.149197594,1.4,-0.699607614,2.299879412
26,Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.892277219,4.89265218,4.956434195,4.99987991,4.930540961,4.770845113,4.913123162,7.367225457,5.106374791,4.807693364,3.959441082,10.21830384,5.351894111,13.55998517,3.592824442,-0.034020943,6.496594287,7.920807179,7.517021513,13.43668176,1.133770823,-0.107710429,-2.143179971,1.972065026,1.012513914,4.539456958,10.73530413,9.787711443,13.00922113,11.44338873,11.45287958,12.03758074,6.236897275,0.197335964,0.640078779,1.02739726,3.583535109,3.927068724,8.951866847,13.00578035,5.042016807,5.113043478,9.331568498,4.630750605,2.198437952,4.585338239,3.274695535,-1.519916143,-0.452368281,1.25634857,-0.105596621,3.858350951,4.529262087,4.089581305,3.367633302,0.113122172,-1.694915254,1.103448276,4.502046385,-13.40295909,15.22613065
28,Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.089295936,5.578917859,6.797625777,3.956596532,4.913441956,7.170589663,6.317219517,8.529443084,4.474097331,5.231029301,5.063336439,7.96748521,5.739161526,2.939567808,7.311017731,4.614567486,4.971215657,2.052694566,0.133344048,-1.371772911,0.275616375,-3.938737928,-4.0421214,-0.200665698,-1.676389781,-2.5738842,2.463484616,2.909497961,3.790130964,4.635787428,5.266526668,1.646498183,4.269296117,4.667265103,4.678276597,4.361341952,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569506,4.8571873,4.263920838,4.195206301,4.223623511,2.216705778,-8.737884434,6.105804225
29,Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.6,6.6,0.6,3.4,2.4,6.7,4.2,9.8,9.5,10.4,11.34292199,11.94034812,13.96872178,8.153938685,5.166649084,10.25712953,4.93432807,4.969897689,6.759560122,9.2,-4.25,0.83,-2.93,5.4,7.85,7.49,3.53,-0.06,3.16,-4.35,1.032189585,-0.54407205,4.924690004,5.852870362,4.223793634,2.20886405,3.394845986,0.338097901,0.467937566,4.387949447,1.389896401,3.053461859,1.140828998,5.759964637,3.202132061,3.961988711,6.069870607,5.094195447,-0.125812002,7.528225818,3.974423079,1.921175986,3.004822669,0.50395574,-3.545763393,-3.275916908,1.322869054,1.783666762,1.220777824,-3.878676334,4.619421621
32,Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,15.12229484,3.439773849,10.43101594,4.556658989,4.028533,11.3921976,29.05432385,4.767373021,7.355567318,10.38311792,-0.407875687,4.600891432,1.98636659,4.95150367,7.074117278,5.565172862,5.373838519,5.914030835,7.983972022,3.355068285,8.348954483,10.99228184,7.823302361,6.008742236,7.287249352,6.999738095,18.36085406,4.799460612,6.748333748,11.945896,7.982617041,5.118400858,2.119972633,5.77649568,6.642232105,8.127033538,4.651834675,3.055129837,5.755169993,-10.00969926,4.087618798
33,Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.34328372,6.666667813,5.921045097,6.832300931,5.81395506,6.344019096,5.924559941,10.5670565,15.12340471,17.12026767,25.82110722,26.36194095,21.30318409,8.797795216,8.446250381,10.64737671,12.01204009,14.33280159,12.14858892,11.98690139,9.064857465,12.16553186,13.14672905,8.545383639,7.125271268,8.172924332,11.88192814,19.44996951,13.05940589,6.772821949,7.458709171,2.917070304,1.916107019,3.627916077,7.030410309,5.829800007,8.3258909,0.443663522,9.667240795,1.987695751,0.250573957,6.06953088,4.625894727,2.705821729,4.556645673,8.363871096,5.792555777,3.252072958,-14.14423462,10.12220912,6.838529748,-0.170900761,11.10282378,5.69696454,-4.850991817,7.201819029,4.113056143,4.189834074,3.032598741,-8.726408626,11.37002186
35,Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.163291684,7.425384774,5.349546457,6.642894415,6.316714176,6.704991764,3.091205962,4.995666605,5.045456367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.896151829,5.162913624,5.177635668,1.78997288,3.018050512,1.801518136,3.086980809,3.204200428,2.634303814,2.069409888,1.007622695,-2.928400167,3.08949462,3.146881372,1.762222549,2.329122506,2.870036075,0.659176864,1.001394414,3.039880225,2.777040554,1.879592028,-5.233024303,4.540887309
37,Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,1.60133593,-1.309417496,0.639079545,3.008456322,3.673595924,1.858632898,1.585478008,3.277596377,4.330794024,3.47455211,-0.915816668,-0.043733003,-0.125983395,1.269757676,0.480866449,0.471280021,2.261325239,3.02996917,1.662701284,3.958719719,1.575661967,-0.073217084,-0.032398477,2.70170921,2.749698985,4.07362845,3.916375818,2.807983632,-2.297374631,3.243397336,1.813108192,1.179253833,1.792144057,2.349881275,1.644627687,2.068689667,1.362799557,2.860445795,1.141982325,-2.37556328,4.221716577
39,Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.245271884,4.026685623,5.84014014,2.557220538,0.950272505,11.23624246,3.615999854,3.59201333,3.937983281,1.82896697,9.422686211,-1.019947794,-5.029248356,2.382149333,-12.91210105,3.832584005,10.44468638,7.701103603,8.418304687,7.986620757,6.525370366,-11.01430506,-5.017420525,4.103683239,4.009916203,5.377692323,6.460468528,7.345110454,9.923382897,3.333565474,7.804392186,11.16670773,6.588783827,5.030197977,8.933295869,6.802916596,7.391739268,4.180886627,-0.273631398,4.971621488,3.154034925,3.202799135,4.723245269,6.674254168,5.837045719,6.049990826,5.168230985,3.789392806,-1.118037236,5.851651022,6.223896785,6.155340019,3.308508247,1.792649471,2.1519425,1.753038749,1.357695373,3.990029478,0.770539584,-5.978224062,11.6682247
40,China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-27.27,-5.57999999,10.3,18.17999999,16.95,10.65,-5.770000004,-4.099999987,16.94,19.3,7.059999999,3.81,7.760000001,2.310000003,8.719999998,-1.570000002,7.570000001,11.32597799,7.59132468,7.834145016,5.112761091,9.017113914,10.77020251,15.19154002,13.43067752,8.949961764,11.65742779,11.22259498,4.206334355,3.920251368,9.262786085,14.22452959,13.8837293,13.03680663,10.95395434,9.922556753,9.236779892,7.845951787,7.6616515,8.490093406,8.335733478,9.13363079,10.03803048,10.11362138,11.39459181,12.72095567,14.23086093,9.650678919,9.398725633,10.63587106,9.550832179,7.863736449,7.766150098,7.425763656,7.041328879,6.848762205,6.947200793,6.749773833,5.950500754,2.239701857,8.109792581
42,Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.183680811,3.041559051,3.742550321,3.547159695,2.026053715,4.614955619,-10.91206559,6.346323854,4.901479524,3.092068234,3.479707817,2.673843293,5.355680779,10.73426226,11.24505878,-5.495138397,13.73987152,22.00300492,6.035118773,-1.965291668,17.08268225,7.516202605,6.866830565,7.474572544,8.063161671,6.771663084,-2.146650215,-7.823631975,-1.819120512,-6.105697646,-3.808599373,-3.100003211,-7.932066574,1.876809226,2.894001377,4.21507215,4.527313766,4.725534848,4.511304221,3.832417795,4.324261192,4.477026829,5.453153691,7.048862823,2.228270206,3.809583273,4.327589013,2.847677889,2.579251775,2.899024724,3.379211288,4.625978719,4.995529159,5.719818144,5.666952991,4.535794236,3.541176549,3.95551424,3.475059979,0.259932916,3.649916886
45,Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.089216984,5.411889613,3.286707554,6.166941324,3.60001139,5.236735862,4.134864166,5.933117999,6.102517309,6.207796961,5.960727946,7.669147544,6.722954969,5.745757189,2.323255281,4.728368735,4.158505453,8.469900838,5.379118988,4.087353676,2.276872745,0.948420787,1.573956038,3.350683739,3.107106196,5.824076137,5.368932148,4.064173245,3.41409611,4.281998331,2.001607597,4.044929438,5.385409939,5.814661908,5.202437593,2.055854712,3.430293678,0.56978409,-4.204015244,2.924861483,1.677898308,2.503980466,3.918271904,5.333022067,4.828761108,6.716868698,6.738194691,3.283446186,1.139648645,4.494658971,6.947891982,3.912635767,5.13399352,4.499030001,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392,-7.048151208,10.67701307
48,Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.879276556,5.442391375,6.898923442,3.659048314,8.190527594,6.969319031,5.65012592,8.473304347,5.491799943,7.503134343,6.778505426,8.178045134,7.708915812,5.544899991,2.100071049,5.517564403,8.904474432,6.267686824,4.939123955,0.751895403,-2.261655507,-7.285568847,2.862992702,8.024107907,0.721601729,5.536250843,4.76453328,3.43214738,5.665975549,3.553063366,2.265654989,9.201103732,7.09719124,4.519028377,4.153953043,1.350459539,5.476165774,7.155308577,4.21481117,3.868718088,3.491169873,3.41687639,4.317179866,4.424599597,3.976666368,7.326695432,8.215131984,4.738174878,-0.873455943,5.36034348,4.40315924,4.88259241,2.494766112,3.542109878,3.652080968,4.204323252,4.157698963,2.615904404,2.417511818,-4.050908171,7.579565299
53,Cyprus,CYP,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,20.26629219,16.36200095,7.777403361,9.905569382,5.753244702,2.516998441,6.021708985,5.582181702,8.757894383,4.882540773,3.703950289,7.065250813,8.646777844,7.947425532,7.403999507,0.739501202,9.399999016,0.700000488,5.899998701,8.362469305,1.248581576,2.64089464,6.110846746,4.997960422,5.965310315,3.952560541,3.722956499,2.623286123,5.026343926,4.853003838,4.713828666,5.098068453,3.646811991,-2.015262359,2.283544997,0.416712763,-3.447381424,-6.587482257,-1.776061912,3.418923188,6.573580202,5.733476139,5.647858201,5.529428549,-4.372474186,6.638926968
55,Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,3.132699738,4.300341334,4.777486892,0.890068741,-0.866738894,4.949258377,3.34721812,3.008492857,4.150363341,1.408828636,0.529240557,-0.394840775,1.57241017,2.82294781,2.327935262,2.287339221,1.402151627,3.707235659,3.896551692,5.255006083,5.108261522,1.923076559,-0.976849818,2.391892071,1.544146496,0.805822891,1.792160821,2.013932785,1.887261154,2.912502964,1.681468481,-0.197973835,-0.700116686,1.175088132,0.731707164,3.816441913,2.976455131,0.959879134,-5.693836336,4.179882499,3.925192705,0.418497594,0.437591303,2.209543431,1.491931528,2.229999868,2.680231114,0.981232606,1.056603898,-3.696788705,2.626987267
56,Djibouti,DJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.061543242,7.526108919,7.123432337,5.458091517,4.774416888,5.5451306,1.202022033,4.812477383
